datetime,open,high,low,close
1997-12-22,1.11180,1.11650,1.10550,1.11550
1997-12-29,1.11650,1.11690,1.093400,1.095800
1998-01-05,1.096600,1.099700,1.077300,1.083500
1998-01-12,1.081500,1.090500,1.076500,1.078200
1998-01-19,1.080600,1.11150,1.070500,1.10830
1998-01-26,1.10900,1.11960,1.077100,1.079000
1998-02-02,1.081500,1.10500,1.077800,1.090300
1998-02-09,1.086500,1.093000,1.079700,1.086700
1998-02-16,1.086500,1.090100,1.078000,1.086500
1998-02-23,1.088000,1.10350,1.082800,1.088400
1998-03-02,1.091700,1.098100,1.076200,1.080000
1998-03-09,1.081900,1.095100,1.077000,1.091200
1998-03-16,1.093300,1.095500,1.080800,1.084700
1998-03-23,1.085000,1.092600,1.075000,1.076500
1998-03-30,1.077000,1.079800,1.070000,1.079100
1998-04-06,1.081800,1.096000,1.076900,1.087600
1998-04-13,1.087300,1.10420,1.086700,1.10030
1998-04-20,1.10030,1.10930,1.096700,1.10520
1998-04-27,1.10550,1.11400,1.095900,1.11030
1998-05-04,1.10880,1.11990,1.10560,1.10780
1998-05-11,1.10840,1.11220,1.099500,1.10290
1998-05-18,1.10350,1.12480,1.10230,1.11380
1998-05-25,1.11620,1.11870,1.099200,1.10790
1998-06-01,1.10690,1.11810,1.10450,1.10750
1998-06-08,1.10730,1.11180,1.086600,1.091300
1998-06-15,1.087000,1.11030,1.087000,1.10230
1998-06-22,1.10220,1.10630,1.090000,1.094200
1998-06-29,1.095500,1.098700,1.084400,1.092000
1998-07-06,1.094100,1.099100,1.079000,1.098300
1998-07-13,1.10010,1.11180,1.094100,1.10790
1998-07-20,1.10660,1.11150,1.099400,1.10530
1998-07-27,1.10550,1.11700,1.10050,1.10350
1998-08-03,1.10370,1.11650,1.10250,1.10800
1998-08-10,1.10860,1.11270,1.087700,1.098200
1998-08-17,1.099300,1.10170,1.091900,1.099300
1998-08-24,1.10070,1.13020,1.089400,1.13020
1998-08-31,1.12270,1.14840,1.11930,1.14120
1998-09-07,1.13950,1.17630,1.12850,1.15880
1998-09-14,1.15820,1.17640,1.15090,1.16190
1998-09-21,1.16220,1.18310,1.15600,1.17480
1998-09-28,1.17480,1.20980,1.16840,1.20530
1998-10-05,1.20790,1.22930,1.19620,1.19800
1998-10-12,1.20900,1.22410,1.19570,1.20400
1998-10-19,1.20550,1.20870,1.18870,1.20150
1998-10-26,1.19400,1.19700,1.18040,1.18870
1998-11-02,1.19070,1.19430,1.17330,1.17450
1998-11-09,1.17180,1.17580,1.15880,1.16750
1998-11-16,1.17000,1.18490,1.16110,1.16170
1998-11-23,1.16120,1.16230,1.14590,1.14880
1998-11-30,1.14990,1.18010,1.14820,1.17160
1998-12-07,1.17400,1.19240,1.16610,1.19060
1998-12-14,1.19270,1.19580,1.17700,1.17970
1998-12-21,1.18450,1.18470,1.16650,1.16730
1998-12-28,1.16750,1.17740,1.16460,1.17230
1999-01-04,1.17420,1.19090,1.15370,1.15750
1999-01-11,1.15680,1.17930,1.14430,1.15570
1999-01-18,1.15680,1.16430,1.15370,1.15900
1999-01-25,1.15850,1.16150,1.13380,1.13660
1999-02-01,1.13890,1.13970,1.12460,1.12670
1999-02-08,1.12650,1.13660,1.12110,1.13060
1999-02-15,1.12980,1.13040,1.10530,1.10770
1999-02-22,1.10730,1.10820,1.092400,1.10250
1999-03-01,1.098700,1.10270,1.078100,1.083300
1999-03-08,1.082400,1.10610,1.079600,1.091200
1999-03-15,1.089400,1.10700,1.081500,1.089900
1999-03-22,1.091500,1.096500,1.068300,1.073500
1999-03-29,1.073100,1.082500,1.069400,1.071600
1999-04-05,1.071300,1.088600,1.070300,1.080800
1999-04-12,1.080800,1.083300,1.058700,1.066700
1999-04-19,1.066300,1.068800,1.056000,1.059300
1999-04-26,1.058700,1.069900,1.054200,1.056400
1999-05-03,1.056500,1.084200,1.055800,1.078200
1999-05-10,1.078600,1.080600,1.059900,1.066500
1999-05-17,1.066500,1.071100,1.054500,1.060500
1999-05-24,1.060300,1.064600,1.039100,1.042300
1999-05-31,1.043000,1.047600,1.025700,1.030300
1999-06-07,1.029200,1.056000,1.026500,1.042300
1999-06-14,1.042100,1.044200,1.028800,1.035100
1999-06-21,1.034500,1.048200,1.027100,1.033500
1999-06-28,1.032800,1.039300,1.020300,1.022300
1999-07-05,1.022500,1.027200,1.011100,1.014500
1999-07-12,1.015200,1.033900,1.010900,1.031200
1999-07-19,1.031600,1.072500,1.027800,1.065600
1999-07-26,1.064200,1.074700,1.059100,1.068500
1999-08-02,1.068400,1.082900,1.062900,1.072400
1999-08-09,1.072200,1.076800,1.054700,1.058300
1999-08-16,1.058100,1.069100,1.045700,1.049000
1999-08-23,1.049400,1.055100,1.039100,1.048500
1999-08-30,1.049700,1.073400,1.048200,1.058200
1999-09-06,1.057100,1.064500,1.029900,1.042500
1999-09-13,1.041800,1.047200,1.028400,1.035600
1999-09-20,1.036200,1.054600,1.036200,1.046200
